first_time_homebuyer_flag,borrowers_num,orig_UPB,orig_interest_rate,program_ind,zero_balance_effective_date,loan_purpose,LTV,units_numb,id_loan,maturity_date,occupancy_status,period,DTI_ratio,orig_loan_term,channel,Unnamed: 0,first_payment_date,cens,CLTV,MI_%,property_state,zero_balance_code,postal_code,MI_cancel_flag,int_only_flag,PPM_flag,property_type,property_val_method,time,amortization_type,service_name,seller_name
N,1,82000,6.625,9,,N,74,1,F99Q10003583,202902,P,2017-12-01,21,360,R,2469,199903,False,74,0,NC,-1.0,27500,9,N,N,SF,9,228,FRM,"WELLS FARGO BANK, N.A.","NORWEST MORTGAGE, INC."
N,1,103000,6.875,9,201712.0,N,58,1,F99Q10003640,202902,P,2017-12-01,999,360,R,2486,199903,True,58,0,MN,1.0,55300,9,N,N,SF,9,228,FRM,"WELLS FARGO BANK, N.A.","NORWEST MORTGAGE, INC."
N,2,90000,7.0,9,201707.0,N,69,1,F99Q10003852,202902,P,2017-07-01,41,360,R,2548,199903,True,69,0,MT,1.0,59800,9,N,N,SF,9,223,FRM,"WELLS FARGO BANK, N.A.","NORWEST MORTGAGE, INC."
N,2,85000,7.125,9,,N,73,1,F99Q10004326,202902,P,2017-12-01,56,360,R,2724,199903,False,73,0,CA,-1.0,93200,9,N,N,SF,9,228,FRM,"WELLS FARGO BANK, N.A.","NORWEST MORTGAGE, INC."
N,2,110000,6.125,9,,C,20,1,F99Q10004431,202902,P,2017-12-01,6,360,T,2762,199903,False,20,0,MD,-1.0,20800,9,N,N,SF,9,228,FRM,"WELLS FARGO BANK, N.A.","NORWEST MORTGAGE, INC."
N,2,90000,7.0,9,,P,90,1,F99Q10005972,202902,S,2017-12-01,26,360,R,4175,199903,False,90,25,SC,-1.0,29500,9,N,N,CO,9,228,FRM,Other servicers,Other sellers
N,2,100000,6.875,9,,C,80,1,F99Q10006011,202902,P,2017-12-01,48,360,R,4215,199903,False,80,0,NV,-1.0,89400,9,N,N,SF,9,228,FRM,Other servicers,Other sellers
Y,1,62000,6.875,9,,P,89,1,F99Q10006061,202902,P,2017-12-01,34,360,R,4266,199903,False,89,25,MN,-1.0,56300,9,N,N,SF,9,228,FRM,Other servicers,Other sellers
N,2,49000,7.25,9,,C,58,1,F99Q10006249,202902,P,2017-12-01,34,360,R,4452,199903,False,58,0,IN,-1.0,46000,9,N,N,SF,9,228,FRM,Other servicers,Other sellers
N,2,129000,6.75,9,,C,40,1,F99Q10006262,202902,P,2017-12-01,16,360,R,4466,199903,False,40,0,CA,-1.0,93000,9,N,N,SF,9,228,FRM,Other servicers,Other sellers
N,1,98000,7.125,9,,P,80,1,F99Q10006300,202902,P,2017-12-01,20,360,R,4505,199903,False,80,0,IL,-1.0,62000,9,N,N,SF,9,228,FRM,Other servicers,Other sellers
N,2,86000,7.125,9,,N,75,1,F99Q10006364,202902,P,2017-12-01,38,360,T,4569,199903,False,75,0,MI,-1.0,49600,9,N,N,SF,9,228,FRM,Other servicers,Other sellers
N,2,30000,7.25,9,,C,59,1,F99Q10006509,201902,P,2017-12-01,20,240,R,4712,199903,False,59,0,IL,-1.0,61400,9,N,N,SF,9,228,FRM,Other servicers,Other sellers
